0.108,-0.036,0.026
0.108,-0.0252,0.026
0.108,-0.0144,0.026
0.108,-0.0036,0.026
0.108,0.0072,0.026
0.108,0.018,0.026
0.1152,0.018,0.026
0.1242,0.0144,0.026
0.1278,0.0072,0.026
0.1242,0,0.026
0.1152,-0.0036,0.026
0.108,-0.0036,0.026
0.117,-0.0144,0.026
0.1242,-0.0252,0.026
0.1296,-0.036,0.026
0.1296,-0.036,0.1
0.153,0.018,0.1
0.153,0.018,0.026
0.153,0.0072,0.026
0.153,-0.0036,0.026
0.153,-0.0144,0.026
0.153,-0.0252,0.026
0.153,-0.0306,0.026
0.1503,-0.0351,0.026
0.144,-0.036,0.026
0.1395,-0.0333,0.026
0.1386,-0.0306,0.026
0.13905,-0.027,0.026
0.1431,-0.0234,0.026
0.1431,-0.0234,0.1
0.1899,0.0171,0.1
0.1899,0.0171,0.026
0.1854,0.018,0.026
0.1809,0.0162,0.026
0.1773,0.0126,0.026
0.1755,0.0072,0.026
0.1746,0,0.026
0.1746,-0.0072,0.026
0.1755,-0.0144,0.026
0.1773,-0.0216,0.026
0.1809,-0.027,0.026
0.1854,-0.0315,0.026
0.1899,-0.0351,0.026
0.1935,-0.036,0.026
0.1935,-0.036,0.1
0.207,0.018,0.1
0.207,0.018,0.026
0.207,0.0072,0.026
0.207,-0.0036,0.026
0.207,-0.0144,0.026
0.207,-0.0252,0.026
0.207,-0.036,0.026
0.207,-0.036,0.1
0.207,0.018,0.1
0.2142,0.018,0.026
0.2232,0.0144,0.026
0.2268,0.0072,0.026
0.2232,0,0.026
0.2142,-0.0036,0.026
0.207,-0.0036,0.026
0.216,-0.0144,0.026
0.2232,-0.0252,0.026
0.2286,-0.036,0.026
0.2286,-0.036,0.1
0.261,0.018,0.1
0.261,0.018,0.026
0.243,0.018,0.026
0.243,0.0045,0.026
0.243,-0.009,0.026
0.243,-0.0225,0.026
0.243,-0.036,0.026
0.261,-0.036,0.026
0.261,-0.036,0.1
0.243,-0.009,0.1
0.243,-0.009,0.026
0.261,-0.009,0.026
0.261,-0.009,0.1
0.2745,0.018,0.1
0.2745,0.018,0.026
0.2763,0.0036,0.026
0.2781,-0.0108,0.026
0.2799,-0.0252,0.026
0.2817,-0.036,0.026
0.2889,-0.0252,0.026
0.297,-0.0135,0.026
0.3015,-0.0252,0.026
0.3105,-0.036,0.026
0.3141,-0.0252,0.026
0.3168,-0.0108,0.026
0.3195,0.0036,0.026
0.324,0.018,0.026